




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
primary adaptive immune response involving T cells and B cells (GO:0090721)	1	1	.00	+	 > 100	1.36E-03	1.00E00
primary adaptive immune response (GO:0090720)	1	1	.00	+	 > 100	1.36E-03	1.00E00
substrate localization to autophagosome (GO:0061753)	1	1	.00	+	 > 100	1.36E-03	1.00E00
engulfment of target by autophagosome (GO:0061736)	1	1	.00	+	 > 100	1.36E-03	1.00E00
Golgi to secretory granule transport (GO:0055107)	2	1	.00	+	 > 100	2.04E-03	1.00E00
inactivation of X chromosome by DNA methylation (GO:0060821)	2	1	.00	+	 > 100	2.04E-03	1.00E00
pigment catabolic process (GO:0046149)	4	1	.00	+	 > 100	3.40E-03	1.00E00
porphyrin-containing compound catabolic process (GO:0006787)	4	1	.00	+	 > 100	3.40E-03	1.00E00
protein targeting to vacuole involved in autophagy (GO:0071211)	4	1	.00	+	 > 100	3.40E-03	1.00E00
C-5 methylation of cytosine (GO:0090116)	4	1	.00	+	 > 100	3.40E-03	1.00E00
heme catabolic process (GO:0042167)	4	1	.00	+	 > 100	3.40E-03	1.00E00
tetrapyrrole catabolic process (GO:0033015)	5	1	.00	+	 > 100	4.08E-03	1.00E00
parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization (GO:0061734)	5	1	.00	+	 > 100	4.08E-03	1.00E00
gamma-aminobutyric acid secretion (GO:0014051)	6	1	.00	+	 > 100	4.76E-03	1.00E00
ubiquitin-dependent SMAD protein catabolic process (GO:0030579)	6	1	.00	+	 > 100	4.76E-03	1.00E00
DNA methylation-dependent heterochromatin assembly (GO:0006346)	7	1	.00	+	 > 100	5.44E-03	1.00E00
DNA methylation on cytosine (GO:0032776)	8	1	.01	+	 > 100	6.12E-03	1.00E00
changes to DNA methylation involved in embryo development (GO:1901538)	8	1	.01	+	 > 100	6.12E-03	1.00E00
DNA methylation involved in embryo development (GO:0043045)	8	1	.01	+	 > 100	6.12E-03	1.00E00
positive regulation of mitophagy in response to mitochondrial depolarization (GO:0098779)	9	1	.01	+	 > 100	6.80E-03	1.00E00
glutamate secretion (GO:0014047)	10	1	.01	+	 > 100	7.48E-03	1.00E00
modification of postsynaptic actin cytoskeleton (GO:0098885)	10	1	.01	+	 > 100	7.48E-03	1.00E00
Leydig cell differentiation (GO:0033327)	11	1	.01	+	 > 100	8.15E-03	1.00E00
gamma-aminobutyric acid transport (GO:0015812)	11	1	.01	+	 > 100	8.15E-03	1.00E00
negative regulation of histone H3-K9 methylation (GO:0051573)	13	1	.01	+	 > 100	9.50E-03	1.00E00
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	13	1	.01	+	 > 100	9.50E-03	1.00E00
regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904923)	14	1	.01	+	 > 100	1.02E-02	1.00E00
modification of postsynaptic structure (GO:0099010)	15	1	.01	+	97.72	1.09E-02	1.00E00
negative regulation of cell fate commitment (GO:0010454)	16	1	.01	+	91.62	1.15E-02	1.00E00
regulation of gene expression by genetic imprinting (GO:0006349)	17	1	.01	+	86.23	1.22E-02	1.00E00
negative regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061179)	17	1	.01	+	86.23	1.22E-02	1.00E00
receptor catabolic process (GO:0032801)	18	1	.01	+	81.44	1.29E-02	1.00E00
positive regulation of histone H3-K4 methylation (GO:0051571)	18	1	.01	+	81.44	1.29E-02	1.00E00
Sertoli cell development (GO:0060009)	19	1	.01	+	77.15	1.36E-02	1.00E00
negative regulation of cAMP-mediated signaling (GO:0043951)	19	1	.01	+	77.15	1.36E-02	1.00E00
dosage compensation by inactivation of X chromosome (GO:0009048)	19	1	.01	+	77.15	1.36E-02	1.00E00
modification of synaptic structure (GO:0099563)	21	1	.01	+	69.80	1.49E-02	1.00E00
response to mitochondrial depolarisation (GO:0098780)	21	1	.01	+	69.80	1.49E-02	1.00E00
dosage compensation (GO:0007549)	21	1	.01	+	69.80	1.49E-02	1.00E00
Sertoli cell differentiation (GO:0060008)	24	1	.02	+	61.08	1.69E-02	1.00E00
genetic imprinting (GO:0071514)	25	1	.02	+	58.63	1.76E-02	1.00E00
regulation of histone H3-K9 methylation (GO:0051570)	25	1	.02	+	58.63	1.76E-02	1.00E00
heterochromatin assembly (GO:0031507)	25	1	.02	+	58.63	1.76E-02	1.00E00
negative regulation of histone methylation (GO:0031061)	25	1	.02	+	58.63	1.76E-02	1.00E00
negative regulation of lipid catabolic process (GO:0050995)	27	1	.02	+	54.29	1.89E-02	1.00E00
negative regulation of protein tyrosine kinase activity (GO:0061099)	27	1	.02	+	54.29	1.89E-02	1.00E00
positive regulation of dendrite extension (GO:1903861)	28	1	.02	+	52.35	1.96E-02	1.00E00
acid secretion (GO:0046717)	30	1	.02	+	48.86	2.09E-02	1.00E00
regulation of histone H3-K4 methylation (GO:0051569)	31	1	.02	+	47.29	2.16E-02	1.00E00
protein export from nucleus (GO:0006611)	32	1	.02	+	45.81	2.23E-02	1.00E00
regulation of dendrite extension (GO:1903859)	32	1	.02	+	45.81	2.23E-02	1.00E00
protein localization to cell surface (GO:0034394)	32	1	.02	+	45.81	2.23E-02	1.00E00
heme metabolic process (GO:0042168)	33	1	.02	+	44.42	2.29E-02	1.00E00
regulation of cell fate commitment (GO:0010453)	35	1	.02	+	41.88	2.43E-02	1.00E00
protein targeting to vacuole (GO:0006623)	37	1	.03	+	39.62	2.56E-02	1.00E00
heterochromatin organization (GO:0070828)	38	1	.03	+	38.58	2.63E-02	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	40	1	.03	+	36.65	2.76E-02	1.00E00
acidic amino acid transport (GO:0015800)	40	1	.03	+	36.65	2.76E-02	1.00E00
negative regulation of protein secretion (GO:0050709)	84	2	.06	+	34.90	1.53E-03	1.00E00
endocrine pancreas development (GO:0031018)	42	1	.03	+	34.90	2.89E-02	1.00E00
negative regulation of ossification (GO:0030279)	42	1	.03	+	34.90	2.89E-02	1.00E00
vesicle transport along microtubule (GO:0047496)	44	1	.03	+	33.32	3.03E-02	1.00E00
positive regulation of histone methylation (GO:0031062)	45	1	.03	+	32.57	3.09E-02	1.00E00
glycosphingolipid metabolic process (GO:0006687)	46	1	.03	+	31.87	3.16E-02	1.00E00
positive regulation of protein tyrosine kinase activity (GO:0061098)	46	1	.03	+	31.87	3.16E-02	1.00E00
DNA methylation (GO:0006306)	47	1	.03	+	31.19	3.22E-02	1.00E00
DNA alkylation (GO:0006305)	47	1	.03	+	31.19	3.22E-02	1.00E00
tetrapyrrole metabolic process (GO:0033013)	47	1	.03	+	31.19	3.22E-02	1.00E00
negative regulation of histone modification (GO:0031057)	47	1	.03	+	31.19	3.22E-02	1.00E00
establishment of protein localization to vacuole (GO:0072666)	49	1	.03	+	29.92	3.36E-02	1.00E00
negative regulation of insulin secretion (GO:0046676)	53	1	.04	+	27.66	3.62E-02	1.00E00
regulation of cAMP-mediated signaling (GO:0043949)	55	1	.04	+	26.65	3.75E-02	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	55	1	.04	+	26.65	3.75E-02	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	55	1	.04	+	26.65	3.75E-02	1.00E00
regulation of dendritic spine morphogenesis (GO:0061001)	55	1	.04	+	26.65	3.75E-02	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	56	1	.04	+	26.18	3.82E-02	1.00E00
DNA methylation or demethylation (GO:0044728)	60	1	.04	+	24.43	4.08E-02	1.00E00
pigment metabolic process (GO:0042440)	60	1	.04	+	24.43	4.08E-02	1.00E00
dicarboxylic acid transport (GO:0006835)	61	1	.04	+	24.03	4.15E-02	1.00E00
protein localization to vacuole (GO:0072665)	63	1	.04	+	23.27	4.28E-02	1.00E00
response to osmotic stress (GO:0006970)	64	1	.04	+	22.90	4.34E-02	1.00E00
negative regulation of peptide hormone secretion (GO:0090278)	64	1	.04	+	22.90	4.34E-02	1.00E00
negative regulation of chromatin organization (GO:1905268)	64	1	.04	+	22.90	4.34E-02	1.00E00
autophagosome assembly (GO:0000045)	64	1	.04	+	22.90	4.34E-02	1.00E00
regulation of lipid catabolic process (GO:0050994)	66	1	.05	+	22.21	4.47E-02	1.00E00
negative regulation of peptide secretion (GO:0002792)	66	1	.05	+	22.21	4.47E-02	1.00E00
cellular response to amino acid stimulus (GO:0071230)	67	1	.05	+	21.88	4.54E-02	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	68	1	.05	+	21.56	4.60E-02	1.00E00
autophagosome organization (GO:1905037)	70	1	.05	+	20.94	4.73E-02	1.00E00
negative regulation of protein transport (GO:0051224)	141	2	.10	+	20.79	4.17E-03	1.00E00
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	72	1	.05	+	20.36	4.86E-02	1.00E00
negative regulation of establishment of protein localization (GO:1904950)	146	2	.10	+	20.08	4.46E-03	1.00E00
DNA modification (GO:0006304)	74	1	.05	+	19.81	4.99E-02	1.00E00
organelle transport along microtubule (GO:0072384)	75	1	.05	+	19.54	5.06E-02	1.00E00
regulation of histone methylation (GO:0031060)	76	1	.05	+	19.29	5.12E-02	1.00E00
regulation of protein tyrosine kinase activity (GO:0061097)	76	1	.05	+	19.29	5.12E-02	1.00E00
pancreas development (GO:0031016)	79	1	.05	+	18.56	5.32E-02	1.00E00
BMP signaling pathway (GO:0030509)	80	1	.05	+	18.32	5.38E-02	1.00E00
response to retinoic acid (GO:0032526)	81	1	.06	+	18.10	5.45E-02	1.00E00
cellular response to acid chemical (GO:0071229)	81	1	.06	+	18.10	5.45E-02	1.00E00
response to amino acid (GO:0043200)	81	1	.06	+	18.10	5.45E-02	1.00E00
negative regulation of gene expression, epigenetic (GO:0045814)	81	1	.06	+	18.10	5.45E-02	1.00E00
regulation of synaptic vesicle exocytosis (GO:2000300)	84	1	.06	+	17.45	5.64E-02	1.00E00
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	84	1	.06	+	17.45	5.64E-02	1.00E00
glycolipid metabolic process (GO:0006664)	85	1	.06	+	17.25	5.71E-02	1.00E00
liposaccharide metabolic process (GO:1903509)	86	1	.06	+	17.04	5.77E-02	1.00E00
negative regulation of secretion by cell (GO:1903531)	176	2	.12	+	16.66	6.38E-03	1.00E00
negative regulation of hormone secretion (GO:0046888)	90	1	.06	+	16.29	6.03E-02	1.00E00
chromatin organization involved in negative regulation of transcription (GO:0097549)	91	1	.06	+	16.11	6.09E-02	1.00E00
cellular response to BMP stimulus (GO:0071773)	94	1	.06	+	15.59	6.29E-02	1.00E00
response to BMP (GO:0071772)	94	1	.06	+	15.59	6.29E-02	1.00E00
osteoblast differentiation (GO:0001649)	97	1	.07	+	15.11	6.48E-02	1.00E00
receptor metabolic process (GO:0043112)	101	1	.07	+	14.51	6.73E-02	1.00E00
regulation of BMP signaling pathway (GO:0030510)	101	1	.07	+	14.51	6.73E-02	1.00E00
organ growth (GO:0035265)	101	1	.07	+	14.51	6.73E-02	1.00E00
negative regulation of cellular response to growth factor stimulus (GO:0090288)	102	1	.07	+	14.37	6.80E-02	1.00E00
negative regulation of lipid metabolic process (GO:0045833)	102	1	.07	+	14.37	6.80E-02	1.00E00
nucleocytoplasmic transport (GO:0006913)	205	2	.14	+	14.30	8.53E-03	1.00E00
nuclear transport (GO:0051169)	205	2	.14	+	14.30	8.53E-03	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	103	1	.07	+	14.23	6.86E-02	1.00E00
response to acid chemical (GO:0001101)	103	1	.07	+	14.23	6.86E-02	1.00E00
import into nucleus (GO:0051170)	103	1	.07	+	14.23	6.86E-02	1.00E00
negative regulation of secretion (GO:0051048)	207	2	.14	+	14.16	8.69E-03	1.00E00
