seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	20148578	20148626	49	*	X01	17761	20148471	20281590	133120	+	0	inside	106	Map7
chr11	97574970	97575059	90	*	X06	56013	97509340	97575226	65887	-	0	inside	166	Srcin1
chr11	97575105	97575264	160	*	X07	56013	97509340	97575226	65887	-	0	overlapStart	0	Srcin1
chr12	113185787	113185866	80	*	X08	69195	113185930	113189523	3594	+	63	upstream	63	Tmem121
chr15	100636545	100636683	139	*	X12	207818	100621339	100636940	15602	-	0	inside	256	Smagp
chr17	24488574	24488671	98	*	X14	268932	24488601	24508671	20071	+	0	overlapStart	0	Caskin1
chr19	23758866	23759017	152	*	X17	319924	23758887	23949596	190710	+	0	overlapStart	0	Apba1
chr2	153649461	153649583	123	*	X24	13436	153649450	153687730	38281	+	0	inside	10	Dnmt3b
chr3	68869636	68869793	158	*	X26	68725	68869586	68872163	2578	+	0	inside	49	1110032F04Rik
chr4	32238933	32239220	288	*	X28	12014	32238804	32586108	347305	+	0	inside	128	Bach2
chr4	107434620	107434793	174	*	X30	230587	107434591	107635061	200471	+	0	inside	28	Glis1
chr4	130792669	130792785	117	*	X33	20970	130792537	130826319	33783	+	0	inside	131	Sdc3
chr5	115194052	115194105	54	*	X34	29867	115168689	115194381	25693	-	0	inside	275	Cabp1
chr5	115731345	115731508	164	*	X35	75665	115648175	115731621	83447	-	0	inside	112	Bicdl1
chr5	144965994	144965996	3	*	X36	75788	144876495	144965847	89353	-	146	upstream	146	Smurf1
chr7	27446404	27446487	84	*	X37	233016	27447978	27466144	18167	+	1490	upstream	1490	Blvrb
chr7	114415328	114415519	192	*	X39	18576	114415281	114539251	123971	+	0	inside	46	Pde3b
chr7	114415328	114415519	192	*	X39	71045	114315479	114415161	99683	-	166	upstream	166	4933406I18Rik
